stop_date,stop_time,county_name,driver_gender,driver_age_raw,driver_age,driver_race,violation_raw,violation,search_conducted,search_type,stop_outcome,is_arrested,stop_duration,drugs_related_stop
02-01-2005,01:55,,M,1985.0,20.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
18-01-2005,08:15,,M,1965.0,40.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
23-01-2005,23:15,,M,1972.0,33.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
20-02-2005,17:15,,M,1986.0,19.0,White,Call for Service,Other,False,,Arrest Driver,True,16-30 Min,False
14-03-2005,10:00,,F,1984.0,21.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
23-03-2005,09:45,,M,1982.0,23.0,Black,Equipment/Inspection Violation,Equipment,False,,Citation,False,0-15 Min,False
01-04-2005,17:30,,M,1969.0,36.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
06-06-2005,13:20,,F,1986.0,19.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
13-07-2005,10:15,,M,1970.0,35.0,Black,Speeding,Speeding,False,,Citation,False,0-15 Min,False
13-07-2005,15:45,,M,1970.0,35.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
13-07-2005,16:20,,M,1979.0,26.0,Asian,Speeding,Speeding,False,,Citation,False,0-15 Min,False
13-07-2005,19:00,,F,1966.0,39.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
14-07-2005,19:55,,M,1979.0,26.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
18-07-2005,19:30,,F,1984.0,21.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
18-07-2005,19:45,,M,1969.0,36.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
19-07-2005,00:30,,M,1982.0,23.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
19-07-2005,00:30,,M,1982.0,23.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
19-07-2005,23:30,,M,1979.0,26.0,White,Equipment/Inspection Violation,Equipment,False,,Citation,False,0-15 Min,False
20-07-2005,00:05,,M,1955.0,50.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
24-07-2005,20:10,,F,1958.0,47.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
28-07-2005,12:37,,F,1979.0,26.0,Asian,Speeding,Speeding,False,,Citation,False,0-15 Min,False
07-08-2005,16:50,,M,1953.0,52.0,White,Other Traffic Violation,Moving violation,False,,Citation,False,0-15 Min,False
08-08-2005,02:09,,M,1955.0,50.0,Black,Other Traffic Violation,Moving violation,False,,Arrest Driver,True,30+ Min,False
18-08-2005,10:57,,F,1967.0,38.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
28-08-2005,01:00,,M,1979.0,26.0,White,Other Traffic Violation,Moving violation,True,"Incident to Arrest,Protective Frisk",Arrest Driver,True,16-30 Min,False
03-09-2005,16:02,,,,,,,,False,,,,,False
17-09-2005,10:54,,M,1964.0,41.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
21-09-2005,13:30,,F,1977.0,28.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
22-09-2005,22:34,,M,1984.0,21.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
26-09-2005,01:05,,,,,,,,False,,,,,False
26-09-2005,12:09,,M,1959.0,46.0,Black,Other Traffic Violation,Moving violation,False,,Citation,False,30+ Min,False
28-09-2005,06:20,,M,1982.0,23.0,White,Speeding,Speeding,False,,Arrest Driver,True,16-30 Min,False
28-09-2005,07:15,,M,1973.0,32.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
28-09-2005,07:45,,M,1953.0,52.0,White,Other Traffic Violation,Moving violation,False,,Citation,False,0-15 Min,False
29-09-2005,23:45,,M,1947.0,58.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
30-09-2005,00:15,,M,1978.0,27.0,White,Equipment/Inspection Violation,Equipment,False,,N/D,False,0-15 Min,False
30-09-2005,09:30,,F,1986.0,19.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
30-09-2005,14:00,,M,1962.0,43.0,Asian,Speeding,Speeding,False,,Citation,False,0-15 Min,False
30-09-2005,19:25,,M,1981.0,24.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
30-09-2005,20:17,,M,1988.0,17.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
01-10-2005,00:00,,M,1988.0,17.0,White,Equipment/Inspection Violation,Equipment,True,Probable Cause,Arrest Driver,True,16-30 Min,True
01-10-2005,00:00,,M,1988.0,17.0,White,Equipment/Inspection Violation,Equipment,True,Probable Cause,Citation,False,30+ Min,True
01-10-2005,00:50,,M,1977.0,28.0,Hispanic,Other Traffic Violation,Moving violation,False,,Arrest Driver,True,30+ Min,False
01-10-2005,01:00,,M,1985.0,20.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
01-10-2005,01:45,,M,1983.0,22.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
01-10-2005,02:45,,M,1961.0,44.0,White,Other Traffic Violation,Moving violation,False,,Citation,False,0-15 Min,False
01-10-2005,08:40,,M,1959.0,46.0,White,Equipment/Inspection Violation,Equipment,False,,Citation,False,0-15 Min,False
01-10-2005,09:10,,M,1972.0,33.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
01-10-2005,09:20,,M,1957.0,48.0,White,Speeding,Speeding,False,,Citation,False,0-15 Min,False
01-10-2005,10:45,,M,1971.0,34.0,White,Equipment/Inspection Violation,Equipment,False,,Citation,False,0-15 Min,False
